Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
GRAND_PRIX_ID,1725E01C-09B8-50B1-F987-C974721110D5,171,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,F,INTEGER,17,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
GRID_PENALTY_REASON,2A945EF2-3E63-248A-56FD-9C61A4DE7793,172,,3E5D7780-D524-CA2B-A5B5-B59B93BC0876,122,Y,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_RACE_ATTRIBUTES,,,VARCHAR,2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
HALF_IN_YEAR_NUMBER,5A79D112-BCE2-7053-F619-027BC51BDA31,173,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,N,Small number,SMALLINT,,,,N,Y,DIM_DAY,,,SMALLINT,15,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
HALF_POINTS_INDICATOR,57A4FF27-E6B2-5838-22D0-5ACED7024D90,174,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,N,Domain,,N,,,,BAB387E5-AD75-5F95-BBEF-DFFAD3FB5D6E,16,LOGDT019,81,,,,,,,,,Y,Flag 0_1,NUMERIC,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,,NUMERIC,9,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,1,,,
INFO,B9652C99-7988-2241-19D9-5176EA2D8AB8,175,,DDAA11B5-3E55-1F63-63D7-301E36B9FD5F,115,N,Domain,,N,,,,DOM3000005,39,LOGDT024,109,,,,,,,,,Y,Text,VARCHAR,,,,N,Y,DIM_CHASSIS,,,VARCHAR,5,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
INFO,35B2A179-782E-D0C7-0C56-6C0FA82A8F3D,176,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,N,Domain,,N,,,,DOM2001277,21,LOGDT024,109,,,,,,,,,Y,LongText,VARCHAR,,,,N,Y,DIM_DRIVER,,,VARCHAR,5,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,4000,,,
INFO,2952DB65-CEA4-137B-8B32-F56802BAE8F5,177,,744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,N,Domain,,N,,,,DOM3000005,39,LOGDT024,109,,,,,,,,,Y,Text,VARCHAR,,,,N,Y,DIM_ENGINE,,,VARCHAR,8,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
INFO,7063C3A3-39BB-39C9-796D-6A0DB1C5D8B9,178,,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,N,Domain,,N,,,,DOM3000005,39,LOGDT024,109,,,,,,,,,Y,Text,VARCHAR,,,,N,Y,DIM_TEAM,,,VARCHAR,6,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
INFO,5765FF0A-FF69-628C-7603-4B25DE9336C6,179,,726CE839-6848-A7D0-8E54-2C6362C72643,125,N,Domain,,N,,,,DOM2001277,21,LOGDT024,109,,,,,,,,,Y,LongText,VARCHAR,,,,N,Y,DIM_TRACK,,,VARCHAR,10,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,4000,,,
INFO,CBC4C2AC-35EF-AF1F-A5A0-3BE363B12B6F,180,,43BCD7A8-3A49-7137-C64B-25D84AD4CEDE,126,N,Domain,,N,,,,DOM3000005,39,LOGDT024,109,,,,,,,,,Y,Text,VARCHAR,,,,N,Y,DIM_TYRES,,,VARCHAR,3,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
